ID,name,threat,Source
jmhdckhbaghdmfaccoffeepbeabcgpdg,flash player 2.3,Cloud9 Botnet,https://www.zimperium.com/blog/the-case-of-cloud9-chrome-botnet/
hacfaophiklaeolhnmckojjjjbnappen,Chat GPT For Google,FakeGPT,https://labs.guard.io/fakegpt-2-open-source-turned-malicious-in-another-variant-of-the-facebook-account-stealer-d00ef9883d61
kgnddmccicfibljeodejjmekeiilkfhk,Quick access to Chat GPT,FakeGPT,https://labs.guard.io/fakegpt-new-variant-of-fake-chatgpt-chrome-extension-stealing-facebook-ad-accounts-with-4c9996a8f282
coegmjlpjblmfpcnleenkhggdebdcpho,Quick access to Chat GPT,FakeGPT,https://labs.guard.io/fakegpt-new-variant-of-fake-chatgpt-chrome-extension-stealing-facebook-ad-accounts-with-4c9996a8f282
boofekcjiojcpcehaldjhjfhcienopme,Quick access to Chat GPT,FakeGPT,https://labs.guard.io/fakegpt-new-variant-of-fake-chatgpt-chrome-extension-stealing-facebook-ad-accounts-with-4c9996a8f282
mjdepdfccjgcndkmemponafgioodelna,DF youtube,[MindSpark](https://www.malwarebytes.com/blog/detections/pup-optional-mindspark),[Google](https://www.google.co.uk/search?q=site%3Achrome.google.com%2Fwebstore%2F+%22mindspark.com%22&ei=la7RZLOaD9GghbIPue6xmA0&ved=0ahUKEwjzuLPxh8yAAxVRUEEAHTl3DNMQ4dUDCA8&uact=5&oq=site%3Achrome.google.com%2Fwebstore%2F+%22mindspark.com%22)
idfeemagjnbjkoiglcfbigfimkpopghc,CIA to INGSOC,[MindSpark](https://www.malwarebytes.com/blog/detections/pup-optional-mindspark),[Google](https://www.google.co.uk/search?q=site%3Achrome.google.com%2Fwebstore%2F+%22mindspark.com%22&ei=la7RZLOaD9GghbIPue6xmA0&ved=0ahUKEwjzuLPxh8yAAxVRUEEAHTl3DNMQ4dUDCA8&uact=5&oq=site%3Achrome.google.com%2Fwebstore%2F+%22mindspark.com%22)
idaoogdinfijceaidpialcekdhgjkifn,geo-ip-lookup,[MindSpark](https://www.malwarebytes.com/blog/detections/pup-optional-mindspark),[Google](https://www.google.co.uk/search?q=site%3Achrome.google.com%2Fwebstore%2F+%22mindspark.com%22&ei=la7RZLOaD9GghbIPue6xmA0&ved=0ahUKEwjzuLPxh8yAAxVRUEEAHTl3DNMQ4dUDCA8&uact=5&oq=site%3Achrome.google.com%2Fwebstore%2F+%22mindspark.com%22)
cpgaepnhfockgofcejphihfafgmenofb,image-toolbar,[MindSpark](https://www.malwarebytes.com/blog/detections/pup-optional-mindspark),[Google](https://www.google.co.uk/search?q=site%3Achrome.google.com%2Fwebstore%2F+%22mindspark.com%22&ei=la7RZLOaD9GghbIPue6xmA0&ved=0ahUKEwjzuLPxh8yAAxVRUEEAHTl3DNMQ4dUDCA8&uact=5&oq=site%3Achrome.google.com%2Fwebstore%2F+%22mindspark.com%22)
daejfbkjipkgidckemjjafiomfeabemo,observepoint-tagdebugger,[MindSpark](https://www.malwarebytes.com/blog/detections/pup-optional-mindspark),[Google](https://www.google.co.uk/search?q=site%3Achrome.google.com%2Fwebstore%2F+%22mindspark.com%22&ei=la7RZLOaD9GghbIPue6xmA0&ved=0ahUKEwjzuLPxh8yAAxVRUEEAHTl3DNMQ4dUDCA8&uact=5&oq=site%3Achrome.google.com%2Fwebstore%2F+%22mindspark.com%22)
